	SRR7093809	SRR7093811	SRR7093812	SRR7093813	SRR7093814	SRR7093815	SRR7093816	SRR7093819	SRR7093821	SRR7093822	SRR7093824	SRR7093826	SRR7093827	SRR7093828	SRR7093829	SRR7093830	SRR7093832	SRR7093833	SRR7093834	SRR7093835	SRR7093836	SRR7093838	SRR7093839	SRR7093840	SRR7093842	SRR7093843	SRR7093845	SRR7093846	SRR7093847	SRR7093848	SRR7093850	SRR7093852	SRR7093854	SRR7093855	SRR7093856	SRR7093857	SRR7093858	SRR7093859	SRR7093860	SRR7093861	SRR7093862	SRR7093863	SRR7093864	SRR7093865	SRR7093866	SRR7093867	SRR7093869	SRR7093870	SRR7093871	SRR7093872	SRR7093873	SRR7093874	SRR7093875	SRR7093876	SRR7093877	SRR7093878	SRR7093879	SRR7093882	SRR7093883	SRR7093884	SRR7093887	SRR7093888	SRR7093889	SRR7093890	SRR7093891	SRR7093892	SRR7093893	SRR7093894	SRR7093895	SRR7093896	SRR7093897	SRR7093898	SRR7093899	SRR7093900	SRR7093901	SRR7093902	SRR7093903	SRR7093904	SRR7093905	SRR7093906	SRR7093907	SRR7093908	SRR7093909	SRR7093910	SRR7093911	SRR7093912	SRR7093913	SRR7093914	SRR7093915	SRR7093916	SRR7093917	SRR7093918	SRR7093919	SRR7093920	SRR7093921	SRR7093922	SRR7093923	SRR7093924	SRR7093925	SRR7093926	SRR7093927	SRR7093929	SRR7093930	SRR7093931	SRR7093932	SRR7093933	SRR7093934	SRR7093937	SRR7093940	SRR7093942	SRR7093943	SRR7093945	SRR7093946	SRR7093947	SRR7093948	SRR7093950
ENSG00000102893.19	77	76	76	82	81	78	78	75	73	75	82	81	82	77	77	71	80	74	72	77	83	75	82	80	75	82	81	74	76	78	78	78	78	74	79	81	77	78	79	81	85	84	87	86	88	89	84	88	83	88	89	76	76	73	76	79	75	87	74	80	71	80	79	78	79	80	79	79	83	84	84	84	85	82	85	73	77	84	79	79	77	82	79	86	79	82	78	87	83	80	83	82	80	85	88	86	89	89	89	87	74	84	83	81	85	80	83	79	85	84	82	82	78	81	83	83
ENSG00000102897.11	34	31	31	43	35	37	49	37	44	43	41	35	39	39	31	31	35	31	35	35	39	36	32	36	30	37	37	35	35	34	29	32	34	37	34	32	31	25	31	44	53	48	43	50	47	47	47	52	46	48	49	27	25	30	29	33	28	28	29	30	27	33	32	32	30	30	30	34	34	36	30	32	37	32	29	31	30	36	31	31	28	35	26	38	33	35	32	30	34	27	31	31	40	44	47	48	51	47	44	44	34	36	36	43	39	33	37	33	34	40	42	32	34	32	38	37
ENSG00000102898.14	85	84	86	86	83	82	78	88	83	84	77	85	79	80	83	83	81	80	72	76	85	84	82	87	84	85	83	86	80	84	81	84	85	85	82	84	82	85	87	69	70	70	66	78	67	71	72	78	70	65	78	86	86	87	87	87	82	89	84	88	86	85	86	84	83	89	85	82	84	84	84	82	85	84	85	84	89	85	83	80	80	81	84	83	81	85	83	82	82	83	81	83	72	83	83	82	79	79	77	81	83	83	81	82	83	82	81	82	78	87	80	85	85	86	86	84
ENSG00000102900.14	82	78	73	69	69	79	72	81	75	77	69	80	55	61	76	70	65	72	77	73	53	80	69	73	83	58	66	78	75	74	73	76	71	71	75	71	79	79	77	59	53	61	62	75	65	65	62	65	67	57	64	80	73	80	74	76	73	66	69	71	73	73	74	80	77	74	64	73	77	75	73	74	68	78	73	71	73	67	74	69	76	73	67	58	73	64	71	72	69	68	69	71	60	70	65	69	63	61	66	65	80	74	75	64	64	75	58	73	67	72	68	80	76	73	80	79
ENSG00000102901.14	65	80	83	82	79	75	79	83	79	83	71	84	62	75	82	84	75	78	77	74	71	79	80	81	80	64	77	80	81	77	79	78	81	81	83	78	83	85	80	57	47	45	55	60	57	49	50	56	59	52	72	79	76	78	81	80	82	77	85	74	86	80	80	77	79	86	71	72	82	80	81	78	77	79	78	78	82	74	77	76	78	74	81	77	78	70	79	80	69	74	76	81	64	73	64	68	69	69	71	67	79	71	74	71	74	74	72	77	74	74	71	76	75	74	70	66
ENSG00000102967.13	20	24	19	21	20	24	23	25	23	28	20	25	11	15	24	23	19	24	29	27	19	25	20	32	29	21	21	29	30	24	21	24	28	21	24	17	27	21	17	12	21	13	12	18	21	21	11	30	18	11	17	26	21	27	27	26	20	22	17	24	28	14	16	29	23	24	21	26	16	20	15	21	21	25	20	20	20	23	16	24	12	18	20	13	19	14	21	16	16	16	18	22	16	15	13	19	16	15	18	21	26	18	22	19	19	24	21	20	20	17	19	27	23	23	21	26
ENSG00000102974.17	71	72	68	67	68	75	74	74	71	73	64	68	63	66	69	72	64	71	74	74	61	75	71	69	74	63	67	74	70	70	67	71	63	70	68	69	70	67	72	68	69	68	67	69	65	67	67	66	69	71	70	70	66	72	70	68	73	65	69	67	69	63	68	72	67	66	70	68	70	66	69	71	61	70	68	68	72	68	75	72	72	71	67	60	69	67	73	67	66	69	70	68	64	64	64	63	63	69	64	66	75	69	69	67	65	67	65	68	65	58	61	71	70	68	68	71
ENSG00000102977.19	30	47	27	46	44	46	40	56	43	49	32	37	26	23	27	40	35	39	34	28	37	43	38	40	52	28	29	36	40	27	35	43	39	42	28	37	32	51	38	26	22	14	33	36	31	14	17	20	28	14	36	38	34	30	38	35	33	34	38	45	39	29	23	48	30	37	34	38	44	35	46	38	37	48	29	26	48	43	34	42	44	47	45	31	50	46	40	32	31	35	43	45	34	43	21	18	22	24	19	27	47	30	43	32	41	32	29	27	27	28	25	54	48	46	39	32
ENSG00000102978.14	80	74	77	71	75	73	69	75	72	70	76	80	75	76	77	77	76	78	78	74	75	76	73	81	79	77	76	77	76	75	80	76	78	76	74	75	74	80	75	76	75	76	75	79	77	74	76	73	76	71	77	80	79	79	80	82	78	81	82	79	82	80	76	77	76	81	83	81	74	74	78	81	82	78	77	76	75	77	76	76	78	78	80	73	75	82	69	76	77	70	73	78	75	76	75	74	74	77	78	73	80	81	81	77	81	78	78	78	77	79	77	80	79	78	78	80
ENSG00000103018.19	86	78	80	74	79	77	75	78	77	77	76	76	72	71	79	78	73	77	81	76	73	78	74	83	80	76	79	80	80	80	80	78	78	77	79	80	78	78	80	76	77	76	77	75	77	77	78	81	80	76	80	81	81	79	81	78	82	78	80	81	78	78	80	82	84	82	80	81	79	81	79	84	79	83	78	77	77	81	76	81	81	81	77	76	83	79	78	81	78	75	79	78	77	79	78	74	77	73	79	78	81	79	81	77	78	82	72	77	77	78	77	83	82	80	82	83
ENSG00000103024.9	27	24	25	19	26	20	13	22	16	16	28	24	29	29	26	25	33	29	25	22	32	25	24	31	23	29	23	22	18	28	26	23	33	32	24	24	24	39	30	13	4	5	28	26	26	6	12	3	18	6	8	30	25	28	32	26	19	36	35	22	40	32	32	27	25	38	31	21	24	31	34	25	24	25	19	22	29	28	27	19	23	25	25	26	26	29	21	33	26	19	29	25	14	17	17	14	14	28	19	14	24	29	22	28	32	29	37	30	28	35	32	24	23	28	30	17
ENSG00000103035.12	85	84	86	86	87	86	82	85	86	84	80	87	84	81	86	86	85	83	87	84	84	83	85	86	87	81	85	86	84	84	85	81	82	86	84	84	82	86	85	83	83	80	82	84	80	85	82	86	83	83	84	87	88	84	87	89	89	85	89	86	90	85	87	88	86	87	85	83	81	82	84	85	84	88	87	88	85	84	85	86	84	84	82	81	84	85	82	81	81	86	83	84	81	82	81	82	83	83	81	81	86	84	83	85	85	84	86	86	83	84	85	85	85	85	86	86
ENSG00000103061.14	46	45	50	44	46	43	48	44	47	54	44	47	43	41	43	35	41	44	44	38	47	51	42	47	46	46	46	47	50	49	39	48	46	41	49	47	47	48	47	46	54	50	44	43	44	43	49	56	43	46	39	52	48	50	44	50	46	49	43	50	47	45	42	47	40	46	52	46	42	42	42	46	48	46	44	46	37	46	39	45	41	42	50	43	49	46	39	41	43	46	35	41	40	43	44	43	39	42	40	46	49	48	50	48	50	44	46	47	44	43	46	49	47	45	44	43
ENSG00000103111.15	72	64	64	60	64	58	67	64	59	68	67	65	65	68	63	61	64	61	61	59	70	65	63	61	63	63	58	61	61	61	59	64	64	61	61	65	63	72	65	59	55	54	67	51	60	56	62	55	66	59	59	53	60	61	60	64	61	65	68	67	61	54	64	61	61	59	66	61	68	67	69	63	55	69	58	57	54	67	67	61	63	63	69	58	61	66	58	62	69	60	62	65	60	66	60	57	57	60	62	59	67	63	60	65	66	66	65	64	61	63	64	67	64	67	61	63
ENSG00000103121.10	46	54	54	42	46	53	36	53	47	44	33	49	41	32	47	49	38	53	57	55	32	56	48	54	59	42	57	59	55	44	49	57	50	51	51	48	59	50	54	36	45	49	39	43	31	38	39	50	37	40	45	56	64	64	59	49	64	47	57	54	51	46	57	63	63	58	55	55	50	46	51	60	49	60	59	61	61	42	51	51	52	54	57	40	57	50	52	51	41	56	51	47	43	48	45	46	45	47	48	40	58	41	47	54	48	57	45	56	50	48	42	50	52	49	53	55
ENSG00000103126.16	49	46	47	44	41	42	36	42	38	41	51	41	47	44	43	47	50	44	47	40	50	45	43	44	45	48	42	42	38	43	52	48	49	49	45	50	43	51	48	36	30	36	40	40	55	32	37	29	37	31	37	53	48	48	48	50	43	50	54	48	54	46	48	42	43	50	53	45	40	51	47	43	51	50	47	45	51	44	49	47	42	43	53	47	44	42	48	46	45	51	46	47	37	44	39	50	41	42	35	39	47	50	42	48	51	48	63	45	44	49	57	45	47	47	48	43
ENSG00000103152.12	72	65	64	66	68	56	60	61	57	58	66	62	65	67	65	63	70	66	65	57	66	58	67	68	60	66	66	61	61	66	70	63	73	68	63	64	64	71	65	47	30	27	60	70	63	29	43	28	54	32	46	63	68	63	70	74	54	73	77	65	77	69	69	59	60	75	71	58	65	66	69	63	66	63	64	66	70	64	61	55	65	62	66	65	58	69	62	64	68	62	60	60	52	56	44	52	46	54	42	43	63	69	63	65	71	70	75	62	65	70	76	66	62	72	65	54
ENSG00000103168.18	57	54	55	47	53	53	45	57	48	56	63	52	54	62	54	51	49	59	50	45	59	51	46	61	55	49	40	46	57	39	43	52	42	47	38	56	54	55	49	38	40	24	34	35	51	27	38	28	37	27	51	62	48	42	51	50	47	65	59	56	44	51	53	44	47	52	63	45	42	49	42	55	54	48	45	37	46	57	48	45	44	52	66	48	59	51	41	48	51	45	42	56	42	52	37	46	35	49	40	45	60	56	54	53	43	40	55	56	54	53	47	67	59	51	54	42
ENSG00000103175.12	45	5	12	2	1	1	2	14	1	3	33	16	41	5	20	30	18	1	14	1	22	1	0	34	6	16	23	17	1	12	9	3	3	15	9	16	0	6	11	0	6	40	1	1	0	10	9	35	2	9	12	11	17	4	11	88	24	76	44	1	24	29	27	18	15	21	15	33	35	7	23	22	21	23	50	16	5	8	21	22	10	21	39	3	9	18	1	42	10	44	23	54	18	42	75	47	43	19	19	26	27	36	14	19	17	16	88	11	20	26	46	38	31	13	62	45
ENSG00000103187.8	96	95	97	95	96	96	94	96	95	95	92	96	93	93	96	96	92	95	94	95	93	95	93	96	93	94	94	96	96	94	95	94	96	95	96	91	95	94	94	89	85	87	87	92	82	86	85	86	91	77	93	95	96	95	94	93	94	91	94	94	94	95	95	95	97	96	96	96	95	94	91	94	96	95	96	96	94	94	94	94	96	94	94	94	93	94	95	86	91	96	88	95	90	94	85	86	88	70	82	87	95	94	95	92	95	90	87	90	87	95	91	95	94	94	95	94
ENSG00000103249.20	69	66	59	61	69	62	50	68	59	56	74	68	72	68	68	61	74	72	64	62	73	66	72	61	61	69	59	62	61	65	60	63	71	75	63	66	72	73	69	60	45	39	63	61	68	36	47	43	58	42	50	66	60	61	59	58	55	71	63	62	70	74	68	69	68	74	63	62	66	70	72	70	61	71	62	58	68	69	69	68	64	63	65	67	68	60	68	67	71	59	70	72	63	68	64	61	64	65	60	55	64	71	67	61	68	60	74	63	70	60	62	69	72	60	64	55
ENSG00000103254.11	21	21	20	16	18	15	9	17	13	10	18	17	11	22	19	19	18	21	23	17	16	19	19	23	22	19	17	20	19	20	23	19	25	22	22	18	19	28	22	6	6	1	11	15	9	3	9	3	10	5	7	23	25	21	22	23	14	23	22	18	24	23	17	17	21	23	22	18	19	21	17	19	22	19	20	24	25	17	17	14	19	17	15	17	19	17	22	17	18	18	16	20	13	10	10	15	10	15	14	12	18	21	18	16	24	20	24	19	20	23	21	19	17	18	20	16
ENSG00000103257.11	95	80	87	85	75	62	63	73	66	75	69	72	90	84	83	91	94	81	64	71	56	89	86	81	66	81	56	90	59	73	96	63	73	92	83	80	75	75	83	47	46	46	64	52	41	36	59	58	48	55	87	65	90	82	93	94	84	79	96	87	93	83	98	90	90	80	84	93	91	98	93	95	60	92	94	89	93	81	94	93	92	86	92	76	88	59	85	87	83	89	94	93	54	68	60	90	58	68	61	77	94	95	89	93	93	83	94	90	88	95	85	85	92	91	90	96
ENSG00000103260.10	52	61	51	52	61	38	26	47	27	30	41	42	42	38	45	47	36	56	49	45	49	53	62	49	41	53	38	42	44	50	45	45	61	57	59	54	53	68	53	14	9	13	22	22	21	9	16	9	19	8	21	37	53	40	54	27	25	47	39	34	67	62	55	38	42	60	50	37	51	59	47	43	42	42	49	49	66	45	43	30	49	40	47	47	42	41	45	41	41	42	36	59	21	38	24	20	25	31	20	16	35	52	39	42	54	40	34	41	44	49	45	29	29	24	37	19
ENSG00000103266.12	74	77	83	81	81	78	77	84	77	79	74	79	74	70	76	77	68	80	78	76	77	77	78	83	79	75	80	77	78	79	76	77	82	84	79	80	78	82	79	68	55	57	74	80	77	62	65	58	75	54	67	76	79	79	78	79	74	81	78	78	82	82	80	80	75	86	78	77	84	83	81	77	77	80	70	77	78	78	79	76	78	79	77	78	75	80	75	81	76	75	74	75	73	80	73	75	74	78	71	71	81	81	78	76	80	76	74	74	74	77	72	77	76	78	78	75
ENSG00000103274.12	44	47	47	41	42	48	46	49	48	48	43	39	38	47	43	40	41	48	50	50	44	42	42	45	47	39	46	43	44	42	44	48	41	39	49	41	42	40	43	36	37	37	42	45	38	41	35	38	39	36	34	54	44	40	43	52	44	42	55	40	52	39	42	48	46	57	44	42	39	37	36	37	49	41	48	48	41	38	38	40	40	42	37	42	46	41	47	32	42	40	37	35	40	43	35	45	40	42	34	38	45	42	41	41	41	42	44	41	32	34	49	39	39	44	43	40
ENSG00000103326.13	66	66	64	52	64	48	43	57	38	45	53	54	46	57	62	54	54	62	60	55	54	60	60	53	54	52	45	59	52	57	53	65	65	69	64	63	61	61	65	54	53	66	27	83	37	45	62	13	66	65	74	66	53	51	62	45	36	50	58	45	64	42	52	47	53	56	59	49	39	53	49	55	61	51	51	52	60	56	53	53	56	46	53	48	59	53	47	52	46	48	48	52	37	42	27	33	30	28	31	27	59	50	46	49	49	58	50	63	54	42	51	53	49	59	49	31
ENSG00000103335.23	94	97	97	98	98	96	97	98	97	98	93	97	92	95	97	97	95	97	97	95	96	97	97	97	97	93	96	97	97	96	95	97	98	97	97	97	97	98	97	92	78	85	93	92	94	89	90	90	93	85	94	96	96	95	95	94	96	96	96	95	97	96	97	96	95	97	95	96	97	97	97	97	96	97	96	97	97	95	96	96	97	95	97	96	96	96	97	97	95	96	96	97	94	97	95	94	94	95	95	95	96	96	96	94	96	96	93	96	95	95	90	95	96	95	96	94
ENSG00000103342.14	94	94	95	93	93	93	92	93	94	95	89	92	89	91	94	93	91	93	94	93	87	94	92	94	95	89	94	94	94	93	91	94	94	94	95	93	95	92	94	89	88	89	89	84	88	90	92	91	91	89	90	94	93	95	94	91	93	90	88	93	92	91	92	94	93	93	93	92	91	92	92	94	94	94	93	94	94	92	93	92	91	92	92	90	94	90	93	93	88	93	93	92	88	86	87	88	87	85	90	88	93	91	93	89	90	93	88	94	91	89	88	90	91	93	93	92
ENSG00000103363.17	85	86	84	87	85	85	73	84	79	76	82	88	85	79	87	84	86	88	86	81	86	86	85	87	83	86	87	87	83	87	88	86	88	81	83	85	83	92	85	62	36	40	80	82	80	45	53	32	72	34	61	82	88	84	85	87	81	90	89	86	92	90	88	86	85	93	89	84	89	88	90	82	77	87	83	86	88	86	86	84	85	87	85	87	82	91	86	86	88	85	86	88	77	82	72	78	71	81	74	69	85	87	84	85	88	83	87	85	85	91	87	86	87	86	84	76
ENSG00000103404.16	35	39	41	31	38	37	29	40	31	31	27	37	38	29	35	35	32	30	40	36	26	38	34	37	43	26	34	48	35	34	38	43	43	34	44	39	46	40	45	36	37	35	31	24	27	32	32	37	37	43	28	44	51	40	39	37	42	32	30	36	35	25	38	33	43	34	38	35	38	30	26	34	42	39	41	39	40	38	44	41	37	35	37	31	37	28	30	38	27	32	33	35	34	27	32	32	27	21	25	27	37	36	39	29	28	42	31	36	27	28	37	33	31	34	36	36
ENSG00000103449.14	56	66	54	53	57	54	55	61	51	65	38	69	40	44	55	71	47	61	37	67	48	67	72	46	68	44	65	68	56	71	31	50	58	53	76	48	61	43	55	35	28	49	31	38	38	44	24	34	47	31	14	55	63	66	56	11	66	58	21	19	38	53	58	35	50	50	53	66	51	41	53	59	62	52	48	47	48	62	42	38	54	34	57	48	42	42	48	52	34	47	42	74	21	28	35	27	48	29	44	27	50	64	58	44	30	47	29	59	35	37	0	9	54	13	63	22
ENSG00000103479.18	73	76	70	83	78	82	86	78	84	82	87	73	86	86	75	72	83	78	74	81	84	78	82	71	73	85	79	74	76	79	79	78	72	74	74	76	76	76	74	88	89	88	89	84	88	86	88	87	87	90	87	72	71	78	77	72	82	78	74	79	75	82	77	79	79	69	76	78	81	81	80	78	80	79	78	73	74	82	78	79	81	81	79	85	78	79	81	80	85	84	83	78	82	82	86	83	86	85	85	86	77	81	80	83	80	80	82	81	82	81	85	80	80	81	77	81
ENSG00000103489.13	87	95	95	92	91	92	87	90	88	89	78	95	91	86	94	95	89	91	96	91	74	94	91	93	94	87	90	95	91	90	94	91	92	93	94	91	89	92	94	83	75	78	86	71	76	80	81	91	84	79	93	93	95	94	93	85	96	94	95	88	91	87	95	91	95	86	92	95	91	89	91	96	94	94	95	92	92	95	94	95	95	90	94	85	92	92	89	94	86	93	90	91	76	75	78	79	79	67	88	80	95	91	96	95	92	94	85	92	91	88	74	86	95	93	94	95
ENSG00000103495.15	90	90	89	93	93	91	92	93	91	92	90	89	91	88	92	92	90	93	89	89	88	93	91	86	93	89	89	91	89	93	89	92	85	88	88	91	91	92	92	84	73	78	86	90	88	82	82	66	86	77	86	89	89	90	92	91	92	90	89	91	92	89	90	92	91	90	92	92	89	91	90	93	88	94	92	90	93	94	94	94	94	93	92	86	94	92	91	91	89	91	93	91	88	89	85	88	86	86	87	88	94	90	92	93	86	92	86	92	92	83	85	91	93	90	91	90
ENSG00000103507.15	70	76	71	74	79	72	70	78	67	77	70	72	73	77	74	73	73	82	72	70	73	70	79	73	72	73	70	75	75	73	71	70	79	69	73	71	71	82	72	66	64	60	67	74	67	62	62	57	67	58	65	70	71	72	74	76	60	70	71	65	82	73	70	66	63	72	68	67	72	76	72	68	73	68	61	68	78	73	65	71	77	69	72	77	69	76	68	71	76	69	68	70	68	70	61	69	62	66	64	68	72	70	66	75	70	73	82	72	78	68	67	75	73	75	69	69
ENSG00000103653.18	69	61	63	61	52	60	56	63	55	61	50	63	54	46	60	59	55	60	64	62	63	63	56	61	61	60	59	57	50	56	50	54	59	64	54	65	66	57	64	58	48	52	59	49	43	51	57	45	56	52	56	52	65	54	60	73	62	62	57	66	57	62	52	64	57	58	68	68	57	59	59	58	59	58	48	44	63	63	52	65	59	49	57	55	56	58	55	66	61	57	58	57	60	60	52	56	48	52	55	58	66	61	60	61	58	56	67	60	54	55	57	70	70	68	72	67
ENSG00000103671.11	44	52	51	43	46	49	60	43	60	55	51	45	57	52	47	52	51	45	47	49	53	53	52	52	45	56	46	47	57	46	48	46	48	50	48	46	45	48	43	55	65	58	51	67	58	55	54	61	52	60	62	52	53	54	48	65	55	51	48	58	52	55	50	49	52	48	56	51	44	48	46	46	56	49	57	52	50	52	41	50	47	54	63	48	44	56	52	52	51	54	43	49	50	53	58	59	59	55	52	53	49	49	56	56	56	49	62	49	53	52	59	56	52	49	48	57
ENSG00000103710.11	4	0	0	2	1	4	5	1	20	5	3	0	1	3	0	0	4	3	4	5	2	0	5	6	0	2	2	1	2	2	1	0	0	0	0	0	0	0	0	10	9	6	1	19	8	12	4	2	7	7	2	0	1	1	2	8	0	1	1	0	0	2	0	0	0	1	2	1	0	0	2	0	0	2	1	1	2	0	0	1	1	1	0	0	0	2	0	0	2	1	2	0	2	1	0	0	1	3	1	1	1	1	0	0	0	5	19	0	4	3	9	1	1	0	1	4
ENSG00000103888.18	99	91	85	97	76	94	95	83	97	82	99	74	99	99	95	93	99	98	98	97	99	97	98	95	98	99	92	96	97	94	99	99	94	98	95	99	99	99	95	99	99	99	99	99	99	99	99	99	99	99	99	99	95	97	86	98	89	99	99	99	99	97	95	98	94	82	98	99	95	98	98	91	99	93	90	95	64	99	99	99	97	99	99	99	96	99	98	95	99	98	99	99	99	99	99	99	99	99	99	99	93	98	97	99	99	99	99	96	99	99	99	98	99	99	98	98
ENSG00000103942.14	13	55	61	58	49	23	23	66	52	29	32	83	30	40	51	67	32	41	29	37	15	74	58	81	45	26	49	63	44	77	25	44	21	51	42	22	44	33	49	7	9	27	13	27	21	18	25	32	22	17	32	35	66	60	77	18	73	32	16	35	42	37	68	55	44	56	52	52	37	70	66	41	78	38	34	39	70	69	66	34	30	74	65	41	37	29	72	32	56	84	42	52	42	6	15	15	11	14	25	10	79	49	65	38	28	29	35	71	64	23	16	23	33	23	45	23
ENSG00000103966.12	77	82	87	82	81	74	68	79	76	73	78	83	66	68	84	80	65	82	75	76	74	80	76	75	80	67	83	82	84	75	67	86	82	80	83	82	86	80	83	67	67	63	70	60	72	68	68	66	77	67	60	73	76	75	73	71	69	67	64	73	72	70	72	69	72	74	74	74	73	84	80	74	72	75	71	67	68	81	74	75	78	78	79	77	77	70	75	71	74	71	71	76	65	68	72	64	70	64	72	66	76	72	81	60	69	72	59	76	66	65	45	71	73	64	73	72
ENSG00000103994.18	86	86	81	83	83	83	89	80	83	82	91	81	89	86	82	85	86	87	82	88	90	85	83	82	81	91	82	86	84	82	85	85	79	84	82	88	85	81	85	90	90	90	90	79	93	89	90	94	90	89	85	89	79	83	79	83	84	85	86	84	76	83	81	84	82	71	81	85	82	84	83	84	87	85	82	78	77	85	82	85	83	84	81	90	84	89	81	88	88	84	86	84	90	91	91	84	90	91	91	88	82	85	84	85	88	87	86	82	86	87	89	88	87	89	86	87
ENSG00000103995.14	43	42	42	37	62	46	42	52	56	50	30	46	17	25	40	43	23	43	44	49	21	52	42	40	50	42	46	51	44	41	31	44	29	29	38	36	44	33	45	20	25	34	22	18	20	30	28	22	31	41	31	46	51	48	46	35	51	22	40	36	39	37	60	51	39	33	36	43	35	31	30	46	38	41	44	39	38	33	53	43	49	40	32	25	44	25	44	33	25	47	36	36	27	16	18	20	37	12	22	24	46	34	34	33	23	40	24	37	26	21	22	46	36	32	37	40
ENSG00000104043.16	1	3	10	12	2	30	15	10	18	13	12	5	26	51	12	1	13	42	4	16	15	7	27	5	2	21	3	11	13	3	9	4	8	4	9	8	7	15	5	32	36	26	28	20	18	50	41	12	9	46	9	6	15	7	3	2	17	39	2	12	8	13	27	5	14	7	8	24	8	4	10	27	12	9	13	12	14	1	3	10	8	20	43	14	4	8	6	5	34	26	28	9	30	27	14	13	40	23	13	15	3	5	21	3	8	2	8	8	17	37	12	3	1	1	3	2
ENSG00000104047.16	59	39	54	70	61	69	73	59	74	63	76	61	79	71	65	55	65	63	60	69	66	56	63	54	66	76	68	60	74	65	68	59	60	65	58	56	56	48	55	85	87	85	83	86	83	81	83	78	78	89	80	56	59	65	56	37	59	53	55	59	43	68	56	69	72	49	63	70	66	63	56	60	68	66	71	77	74	62	63	68	70	74	55	73	59	72	75	73	76	76	70	68	78	64	70	78	78	71	74	72	50	69	65	64	77	63	58	64	78	70	85	56	55	55	49	64
ENSG00000104064.19	49	52	47	35	41	45	38	46	52	38	42	53	56	39	44	51	43	52	47	58	44	57	44	55	58	40	43	59	54	38	44	41	49	46	51	42	45	47	42	39	49	50	45	39	48	50	46	47	42	48	48	52	54	53	50	57	49	37	43	47	50	38	47	51	50	40	44	52	45	51	45	50	50	50	46	50	44	39	57	42	45	47	48	44	48	35	49	42	35	47	38	48	45	42	47	41	38	39	42	40	50	43	42	43	49	47	45	53	37	46	44	56	46	44	44	57
ENSG00000104147.10	21	27	24	21	25	26	17	28	19	21	11	25	6	9	22	23	11	26	24	28	9	31	18	20	32	10	26	21	30	24	15	28	17	16	28	27	28	17	26	5	7	7	7	8	5	13	5	10	14	12	8	24	25	28	31	16	30	8	15	22	21	19	24	34	34	23	21	21	19	20	20	26	20	30	23	26	30	17	28	30	23	26	19	14	35	14	24	21	13	23	25	20	15	11	2	6	7	4	11	6	31	20	22	22	11	29	4	26	24	9	9	26	22	22	24	20
ENSG00000104177.20	44	25	14	14	20	23	26	15	25	29	12	11	6	8	24	23	16	22	19	18	11	26	17	31	19	11	14	13	11	13	20	19	28	21	32	15	33	23	21	4	15	10	6	9	18	14	2	28	7	8	5	32	22	25	17	46	35	15	20	31	21	20	29	39	38	41	15	14	24	28	19	47	24	27	38	26	7	24	21	32	14	11	13	17	12	7	15	29	19	30	17	24	5	9	12	17	12	15	13	22	29	36	29	31	29	27	41	13	5	37	21	26	27	30	45	38
ENSG00000104213.14	10	2	0	2	1	4	9	2	11	5	21	1	4	5	6	7	24	7	3	1	7	1	5	3	0	7	1	1	2	5	11	2	4	6	1	2	3	6	0	25	42	19	28	30	46	45	33	2	19	39	2	1	0	1	1	42	2	3	3	2	6	0	1	0	4	4	4	0	2	0	0	3	5	2	6	1	0	1	0	1	5	5	0	0	2	1	1	0	5	3	1	1	49	3	8	7	5	17	11	25	1	1	1	0	0	4	6	0	2	14	7	3	1	13	2	4
ENSG00000104324.17	49	63	56	66	59	69	76	50	70	69	73	47	69	70	57	58	74	55	64	67	77	62	70	54	54	76	56	57	54	68	69	64	56	59	57	67	55	59	58	85	86	86	77	85	86	86	83	85	82	82	82	56	56	43	54	77	76	70	72	74	67	68	69	62	63	56	67	56	73	64	71	68	63	65	69	67	67	62	66	62	55	62	73	71	62	66	67	64	71	68	63	59	80	80	80	84	80	83	76	82	59	71	67	76	75	64	86	67	69	78	86	65	65	67	69	79
ENSG00000104343.22	39	26	43	46	41	49	36	40	46	37	47	48	56	42	43	45	54	37	33	44	36	32	37	45	44	52	48	35	44	48	50	40	42	47	47	37	41	27	41	54	65	55	51	48	49	61	62	73	46	57	70	37	49	36	43	35	43	40	38	41	24	50	44	47	50	27	42	53	48	42	39	42	51	44	54	53	43	40	48	43	45	55	47	50	50	54	51	51	53	53	49	52	52	53	63	62	63	57	61	62	37	45	46	46	59	44	64	46	51	60	52	43	46	40	42	55
ENSG00000104388.16	83	84	89	88	88	89	92	86	91	90	89	86	90	90	86	87	89	85	86	90	89	87	86	88	87	90	90	87	88	89	91	83	83	86	85	85	84	82	80	92	93	92	91	88	90	93	93	91	91	91	94	86	88	89	89	90	91	92	91	90	84	92	90	90	91	90	89	89	90	90	89	90	92	90	91	92	91	90	89	90	88	91	91	90	89	91	92	90	91	92	90	92	89	91	93	93	92	91	92	93	88	91	87	90	93	88	93	89	90	91	91	89	90	88	87	91
ENSG00000104408.12	92	90	92	93	90	91	95	90	94	95	94	89	93	91	85	88	92	89	91	92	92	92	90	92	92	94	93	89	90	92	91	86	86	88	89	88	88	85	84	92	94	94	92	96	95	93	93	90	93	93	89	92	89	92	92	92	93	88	89	90	87	93	89	92	91	91	92	91	81	89	89	87	90	90	88	91	88	91	87	89	87	89	83	91	88	89	91	87	88	89	90	87	89	86	88	90	90	90	92	88	92	92	93	92	90	92	92	92	90	90	95	91	90	91	92	92
